item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0412,3,2293.35,10,6192.04
ITEM00002,TXN00001,PROD0059,1,3717.26,15,3159.67
ITEM00003,TXN00001,PROD0439,2,1824.79,0,3649.58
ITEM00004,TXN00002,PROD0261,3,4359.27,10,11770.03
ITEM00005,TXN00003,PROD0016,1,4160.07,0,4160.07
ITEM00006,TXN00004,PROD0383,1,4361.85,0,4361.85
ITEM00007,TXN00004,PROD0442,2,4154.23,15,7062.19
ITEM00008,TXN00004,PROD0063,1,3507.84,5,3332.45
ITEM00009,TXN00005,PROD0499,2,1604.32,5,3048.21
ITEM00010,TXN00005,PROD0091,3,2900.2,0,8700.6
ITEM00011,TXN00006,PROD0318,2,770.68,5,1464.29
ITEM00012,TXN00007,PROD0252,2,2746.14,5,5217.67
ITEM00013,TXN00007,PROD0425,1,1794.23,10,1614.81
ITEM00014,TXN00007,PROD0028,1,4940.49,10,4446.44
ITEM00015,TXN00007,PROD0036,2,1190.31,15,2023.53
ITEM00016,TXN00007,PROD0241,2,387.69,5,736.61
ITEM00017,TXN00008,PROD0361,2,4056.79,15,6896.54
ITEM00018,TXN00009,PROD0276,3,3629.4,5,10343.79
ITEM00019,TXN00009,PROD0294,1,3039.57,0,3039.57
ITEM00020,TXN00009,PROD0047,3,3103.14,10,8378.48
ITEM00021,TXN00010,PROD0367,1,1647.43,15,1400.32
ITEM00022,TXN00010,PROD0373,1,778.63,10,700.77
ITEM00023,TXN00010,PROD0148,2,4152.61,15,7059.44
ITEM00024,TXN00010,PROD0153,2,1460.77,0,2921.54
ITEM00025,TXN00010,PROD0402,3,4535.82,15,11566.34
ITEM00026,TXN00011,PROD0197,1,3260.95,5,3097.9
ITEM00027,TXN00011,PROD0037,2,2317.95,10,4172.31
ITEM00028,TXN00012,PROD0373,1,778.63,10,700.77
ITEM00029,TXN00013,PROD0141,1,1174.67,15,998.47
ITEM00030,TXN00013,PROD0386,2,1406.51,0,2813.02
ITEM00031,TXN00013,PROD0436,3,3452.3,5,9839.06
ITEM00032,TXN00013,PROD0289,2,3650.3,5,6935.57
ITEM00033,TXN00013,PROD0366,3,2912.18,5,8299.71
ITEM00034,TXN00014,PROD0240,1,2340.29,10,2106.26
ITEM00035,TXN00014,PROD0204,1,2758.75,0,2758.75
ITEM00036,TXN00014,PROD0067,2,2382.68,5,4527.09
ITEM00037,TXN00014,PROD0374,3,1090.37,0,3271.11
ITEM00038,TXN00015,PROD0289,3,3650.3,10,9855.81
ITEM00039,TXN00015,PROD0029,1,2161.47,15,1837.25
ITEM00040,TXN00015,PROD0238,1,3714.53,15,3157.35
ITEM00041,TXN00015,PROD0218,3,3295.69,0,9887.07
ITEM00042,TXN00015,PROD0188,3,989.63,0,2968.89
ITEM00043,TXN00016,PROD0119,3,1116.73,15,2847.66
ITEM00044,TXN00016,PROD0196,1,2406.37,10,2165.73
ITEM00045,TXN00016,PROD0103,1,1684.5,0,1684.5
ITEM00046,TXN00017,PROD0465,3,4526.24,15,11541.91
ITEM00047,TXN00017,PROD0374,1,1090.37,15,926.81
ITEM00048,TXN00017,PROD0130,1,1841.19,15,1565.01
ITEM00049,TXN00017,PROD0187,3,2737.89,10,7392.3
ITEM00050,TXN00018,PROD0092,1,1397.12,5,1327.26
ITEM00051,TXN00018,PROD0388,3,4302.36,10,11616.37
ITEM00052,TXN00018,PROD0255,3,4611.49,15,11759.3
ITEM00053,TXN00018,PROD0197,1,3260.95,15,2771.81
ITEM00054,TXN00019,PROD0143,1,3702.48,15,3147.11
ITEM00055,TXN00020,PROD0022,2,3915.76,15,6656.79
ITEM00056,TXN00020,PROD0197,3,3260.95,0,9782.85
ITEM00057,TXN00021,PROD0176,2,4990.62,15,8484.05
ITEM00058,TXN00021,PROD0198,2,4945.72,0,9891.44
ITEM00059,TXN00021,PROD0488,1,990.19,10,891.17
ITEM00060,TXN00021,PROD0245,1,3451.14,15,2933.47
ITEM00061,TXN00021,PROD0130,3,1841.19,0,5523.57
ITEM00062,TXN00022,PROD0168,2,1013.19,15,1722.42
ITEM00063,TXN00022,PROD0369,1,2769.83,5,2631.34
ITEM00064,TXN00022,PROD0243,2,1403.1,10,2525.58
ITEM00065,TXN00023,PROD0183,3,1113.88,0,3341.64
ITEM00066,TXN00023,PROD0453,2,1669.73,5,3172.49
ITEM00067,TXN00023,PROD0394,2,3694.89,5,7020.29
ITEM00068,TXN00023,PROD0472,1,3569.65,0,3569.65
ITEM00069,TXN00023,PROD0004,2,4518.03,15,7680.65
ITEM00070,TXN00024,PROD0146,1,2800.79,0,2800.79
ITEM00071,TXN00024,PROD0385,2,1482.05,15,2519.48
ITEM00072,TXN00024,PROD0247,2,1325.37,15,2253.13
ITEM00073,TXN00024,PROD0191,3,3452.7,15,8804.38
ITEM00074,TXN00024,PROD0201,2,3563.81,0,7127.62
ITEM00075,TXN00025,PROD0001,2,2214.37,15,3764.43
ITEM00076,TXN00025,PROD0181,1,4614.54,5,4383.81
ITEM00077,TXN00025,PROD0404,2,4361.14,15,7413.94
ITEM00078,TXN00025,PROD0304,2,4126.57,0,8253.14
ITEM00079,TXN00026,PROD0453,3,1669.73,10,4508.27
ITEM00080,TXN00026,PROD0460,1,1917.22,10,1725.5
ITEM00081,TXN00026,PROD0344,3,2939.46,15,7495.62
ITEM00082,TXN00026,PROD0019,1,3628.97,5,3447.52
ITEM00083,TXN00027,PROD0150,1,3081.11,5,2927.05
ITEM00084,TXN00028,PROD0127,1,2716.59,10,2444.93
ITEM00085,TXN00028,PROD0125,1,2638.62,10,2374.76
ITEM00086,TXN00028,PROD0348,3,358.08,15,913.1
ITEM00087,TXN00029,PROD0448,3,601.09,10,1622.94
ITEM00088,TXN00030,PROD0102,3,3916.46,10,10574.44
ITEM00089,TXN00030,PROD0033,2,1643.68,10,2958.62
ITEM00090,TXN00030,PROD0252,2,2746.14,5,5217.67
ITEM00091,TXN00030,PROD0212,2,3257.11,5,6188.51
ITEM00092,TXN00030,PROD0157,1,4420.91,10,3978.82
ITEM00093,TXN00031,PROD0419,3,1778.33,5,5068.24
ITEM00094,TXN00031,PROD0015,1,4725.14,5,4488.88
ITEM00095,TXN00031,PROD0098,3,545.58,0,1636.74
ITEM00096,TXN00031,PROD0074,3,3050.86,5,8694.95
ITEM00097,TXN00032,PROD0345,2,3420.68,10,6157.22
ITEM00098,TXN00032,PROD0063,2,3507.84,5,6664.9
ITEM00099,TXN00032,PROD0109,3,1268.44,0,3805.32
ITEM00100,TXN00033,PROD0016,1,4160.07,5,3952.07
ITEM00101,TXN00033,PROD0490,3,1961.47,5,5590.19
ITEM00102,TXN00033,PROD0421,2,559.75,15,951.57
ITEM00103,TXN00033,PROD0044,3,1535.98,10,4147.15
ITEM00104,TXN00033,PROD0475,2,738.19,0,1476.38
ITEM00105,TXN00034,PROD0061,2,827.83,0,1655.66
ITEM00106,TXN00035,PROD0095,1,3399.07,5,3229.12
ITEM00107,TXN00035,PROD0114,2,2420.41,10,4356.74
ITEM00108,TXN00035,PROD0129,1,2428.96,0,2428.96
ITEM00109,TXN00036,PROD0338,1,515.8,5,490.01
ITEM00110,TXN00036,PROD0394,2,3694.89,15,6281.31
ITEM00111,TXN00037,PROD0002,2,4963.06,15,8437.2
ITEM00112,TXN00037,PROD0025,2,1659.12,5,3152.33
ITEM00113,TXN00037,PROD0368,1,4266.89,15,3626.86
ITEM00114,TXN00037,PROD0003,1,1060.22,10,954.2
ITEM00115,TXN00037,PROD0182,1,1322.87,10,1190.58
ITEM00116,TXN00038,PROD0307,3,3170.57,15,8084.95
ITEM00117,TXN00038,PROD0165,3,3504.45,0,10513.35
ITEM00118,TXN00038,PROD0476,2,4573.43,0,9146.86
ITEM00119,TXN00038,PROD0467,1,4744.56,15,4032.88
ITEM00120,TXN00039,PROD0206,3,1562.13,10,4217.75
ITEM00121,TXN00040,PROD0160,2,2219.79,0,4439.58
ITEM00122,TXN00040,PROD0080,3,4004.19,15,10210.68
ITEM00123,TXN00041,PROD0076,3,668.63,5,1905.6
ITEM00124,TXN00042,PROD0377,3,3466.69,10,9360.06
ITEM00125,TXN00042,PROD0379,2,4357.01,10,7842.62
ITEM00126,TXN00043,PROD0070,2,3489.23,15,5931.69
ITEM00127,TXN00043,PROD0441,1,1105.58,0,1105.58
ITEM00128,TXN00043,PROD0481,2,4908.09,0,9816.18
ITEM00129,TXN00044,PROD0144,2,3423.55,10,6162.39
ITEM00130,TXN00044,PROD0024,1,1151.52,5,1093.94
ITEM00131,TXN00045,PROD0198,3,4945.72,15,12611.59
ITEM00132,TXN00045,PROD0275,3,3957.21,0,11871.63
